policy,task,safety,episode,success,length,cc,rho_c,geom_violations
planner,place,none,0,1,700,108.0,0.15429,40
planner,place,none,1,0,700,101.0,0.14429,17
planner,place,none,2,1,700,6.0,0.00857,6
planner,place,none,3,0,700,78.0,0.11143,15
planner,place,none,4,1,700,7.0,0.01,7
planner,place,none,5,1,700,5.0,0.00714,5
planner,place,none,6,0,700,79.0,0.11286,16
planner,place,none,7,1,700,4.0,0.00571,4
planner,place,none,8,1,700,6.0,0.00857,6
planner,place,none,9,1,700,726.0,1.03714,244
planner,place,none,10,0,700,116.0,0.16571,18
planner,place,none,11,1,700,4.0,0.00571,4
planner,place,none,12,1,700,3.0,0.00429,3
planner,place,none,13,1,700,6.0,0.00857,6
planner,place,none,14,1,700,246.0,0.35143,86
planner,place,none,15,1,700,6.0,0.00857,6
planner,place,none,16,1,700,3.0,0.00429,3
planner,place,none,17,0,700,54.0,0.07714,12
planner,place,none,18,1,700,4.0,0.00571,4
planner,place,none,19,0,700,624.0,0.89143,188
planner,place,none,20,1,700,5.0,0.00714,5
planner,place,none,21,1,700,6.0,0.00857,6
planner,place,none,22,1,700,99.0,0.14143,35
planner,place,none,23,0,700,63.0,0.09,14
planner,place,none,24,1,700,7.0,0.01,7
planner,place,none,25,0,700,382.0,0.54571,125
planner,place,none,26,1,700,9.0,0.01286,9
planner,place,none,27,0,700,70.0,0.1,14
planner,place,none,28,1,700,8.0,0.01143,8
planner,place,none,29,0,700,297.0,0.42429,79
planner,place,none,30,1,700,7.0,0.01,7
planner,place,none,31,0,700,86.0,0.12286,16
planner,place,none,32,1,700,23.0,0.03286,11
planner,place,none,33,0,700,76.0,0.10857,13
planner,place,none,34,1,700,6.0,0.00857,6
planner,place,none,35,1,700,7.0,0.01,7
planner,place,none,36,0,700,406.0,0.58,56
planner,place,none,37,1,700,5.0,0.00714,5
planner,place,none,38,1,700,6.0,0.00857,6
planner,place,none,39,0,700,111.0,0.15857,20
planner,place,cmdp,0,1,700,4.0,0.00571,4
planner,place,cmdp,1,1,700,11.0,0.01571,11
planner,place,cmdp,2,1,700,4.0,0.00571,4
planner,place,cmdp,3,1,700,6.0,0.00857,6
planner,place,cmdp,4,1,700,6.0,0.00857,6
planner,place,cmdp,5,1,700,2.0,0.00286,2
planner,place,cmdp,6,1,700,8.0,0.01143,8
planner,place,cmdp,7,1,700,3.0,0.00429,3
planner,place,cmdp,8,1,700,2.0,0.00286,2
planner,place,cmdp,9,0,700,1.0,0.00143,1
planner,place,cmdp,10,1,700,8.0,0.01143,8
planner,place,cmdp,11,1,700,4.0,0.00571,4
planner,place,cmdp,12,1,700,4.0,0.00571,4
planner,place,cmdp,13,1,700,5.0,0.00714,5
planner,place,cmdp,14,1,700,4.0,0.00571,4
planner,place,cmdp,15,1,700,3.0,0.00429,3
planner,place,cmdp,16,1,700,4.0,0.00571,4
planner,place,cmdp,17,1,700,10.0,0.01429,10
planner,place,cmdp,18,1,700,4.0,0.00571,4
planner,place,cmdp,19,0,700,10.0,0.01429,10
planner,place,cmdp,20,1,700,6.0,0.00857,6
planner,place,cmdp,21,1,700,6.0,0.00857,6
planner,place,cmdp,22,1,700,3.0,0.00429,3
planner,place,cmdp,23,1,700,13.0,0.01857,13
planner,place,cmdp,24,1,700,8.0,0.01143,8
planner,place,cmdp,25,1,700,5.0,0.00714,5
planner,place,cmdp,26,1,700,7.0,0.01,7
planner,place,cmdp,27,1,700,8.0,0.01143,8
planner,place,cmdp,28,1,700,5.0,0.00714,5
planner,place,cmdp,29,1,700,14.0,0.02,14
planner,place,cmdp,30,1,700,6.0,0.00857,6
planner,place,cmdp,31,1,700,9.0,0.01286,9
planner,place,cmdp,32,1,700,4.0,0.00571,4
planner,place,cmdp,33,1,700,9.0,0.01286,9
planner,place,cmdp,34,1,700,6.0,0.00857,6
planner,place,cmdp,35,1,700,6.0,0.00857,6
planner,place,cmdp,36,1,700,6.0,0.00857,6
planner,place,cmdp,37,0,700,4.0,0.00571,4
planner,place,cmdp,38,1,700,2.0,0.00286,2
planner,place,cmdp,39,1,700,11.0,0.01571,11
scripted,place,none,0,0,700,4.0,0.00571,4
scripted,place,none,1,0,700,3.0,0.00429,3
scripted,place,none,2,0,700,3.0,0.00429,3
scripted,place,none,3,0,700,5.0,0.00714,5
scripted,place,none,4,0,700,3.0,0.00429,3
scripted,place,none,5,0,700,2.0,0.00286,2
scripted,place,none,6,0,700,4.0,0.00571,4
scripted,place,none,7,0,700,3.0,0.00429,3
scripted,place,none,8,0,700,2.0,0.00286,2
scripted,place,none,9,0,700,4.0,0.00571,4
scripted,place,none,10,0,700,4.0,0.00571,4
scripted,place,none,11,0,700,2.0,0.00286,2
scripted,place,none,12,0,700,4.0,0.00571,4
scripted,place,none,13,0,700,2.0,0.00286,2
scripted,place,none,14,0,700,4.0,0.00571,4
scripted,place,none,15,0,700,3.0,0.00429,3
scripted,place,none,16,0,700,4.0,0.00571,4
scripted,place,none,17,0,700,4.0,0.00571,4
scripted,place,none,18,0,700,3.0,0.00429,3
scripted,place,none,19,0,700,3.0,0.00429,3
scripted,place,none,20,0,700,4.0,0.00571,4
scripted,place,none,21,0,700,5.0,0.00714,5
scripted,place,none,22,0,700,4.0,0.00571,4
scripted,place,none,23,0,700,4.0,0.00571,4
scripted,place,none,24,0,700,4.0,0.00571,4
scripted,place,none,25,0,700,3.0,0.00429,3
scripted,place,none,26,0,700,3.0,0.00429,3
scripted,place,none,27,0,700,4.0,0.00571,4
scripted,place,none,28,0,700,4.0,0.00571,4
scripted,place,none,29,0,700,5.0,0.00714,5
scripted,place,none,30,0,700,4.0,0.00571,4
scripted,place,none,31,0,700,4.0,0.00571,4
scripted,place,none,32,0,700,4.0,0.00571,4
scripted,place,none,33,0,700,3.0,0.00429,3
scripted,place,none,34,0,700,5.0,0.00714,5
scripted,place,none,35,0,700,3.0,0.00429,3
scripted,place,none,36,0,700,4.0,0.00571,4
scripted,place,none,37,0,700,4.0,0.00571,4
scripted,place,none,38,0,700,2.0,0.00286,2
scripted,place,none,39,0,700,4.0,0.00571,4
scripted,place,cmdp,0,0,700,3.0,0.00429,3
scripted,place,cmdp,1,0,700,4.0,0.00571,4
scripted,place,cmdp,2,0,700,3.0,0.00429,3
scripted,place,cmdp,3,0,700,4.0,0.00571,4
scripted,place,cmdp,4,0,700,4.0,0.00571,4
scripted,place,cmdp,5,0,700,2.0,0.00286,2
scripted,place,cmdp,6,0,700,5.0,0.00714,5
scripted,place,cmdp,7,0,700,2.0,0.00286,2
scripted,place,cmdp,8,0,700,3.0,0.00429,3
scripted,place,cmdp,9,0,700,3.0,0.00429,3
scripted,place,cmdp,10,0,700,4.0,0.00571,4
scripted,place,cmdp,11,0,700,0.0,0.0,0
scripted,place,cmdp,12,0,700,3.0,0.00429,3
scripted,place,cmdp,13,0,700,1.0,0.00143,1
scripted,place,cmdp,14,0,700,3.0,0.00429,3
scripted,place,cmdp,15,0,700,2.0,0.00286,2
scripted,place,cmdp,16,0,700,3.0,0.00429,3
scripted,place,cmdp,17,0,700,2.0,0.00286,2
scripted,place,cmdp,18,0,700,2.0,0.00286,2
scripted,place,cmdp,19,0,700,6.0,0.00857,6
scripted,place,cmdp,20,0,700,4.0,0.00571,4
scripted,place,cmdp,21,0,700,1.0,0.00143,1
scripted,place,cmdp,22,0,700,5.0,0.00714,5
scripted,place,cmdp,23,0,700,3.0,0.00429,3
scripted,place,cmdp,24,0,700,2.0,0.00286,2
scripted,place,cmdp,25,0,700,5.0,0.00714,5
scripted,place,cmdp,26,0,700,3.0,0.00429,3
scripted,place,cmdp,27,0,700,1.0,0.00143,1
scripted,place,cmdp,28,0,700,3.0,0.00429,3
scripted,place,cmdp,29,0,700,3.0,0.00429,3
scripted,place,cmdp,30,0,700,3.0,0.00429,3
scripted,place,cmdp,31,0,700,2.0,0.00286,2
scripted,place,cmdp,32,0,700,4.0,0.00571,4
scripted,place,cmdp,33,0,700,2.0,0.00286,2
scripted,place,cmdp,34,0,700,2.0,0.00286,2
scripted,place,cmdp,35,0,700,2.0,0.00286,2
scripted,place,cmdp,36,0,700,2.0,0.00286,2
scripted,place,cmdp,37,0,700,1.0,0.00143,1
scripted,place,cmdp,38,0,700,1.0,0.00143,1
scripted,place,cmdp,39,0,700,3.0,0.00429,3
